filename treatment update average
edit_explode_denovo_00002_51 edit_explode_denovo_00002 0 -nan
edit_explode_denovo_00002_51 edit_explode_denovo_00002 1000 0.13383
edit_explode_denovo_00002_51 edit_explode_denovo_00002 2000 0.289652
edit_explode_denovo_00002_51 edit_explode_denovo_00002 3000 0.388646
edit_explode_denovo_00002_51 edit_explode_denovo_00002 4000 0.478968
edit_explode_denovo_00002_51 edit_explode_denovo_00002 5000 0.729859
edit_explode_denovo_00002_51 edit_explode_denovo_00002 6000 0.938
edit_explode_denovo_00002_51 edit_explode_denovo_00002 7000 0.984321
edit_explode_denovo_00002_51 edit_explode_denovo_00002 8000 1.23458
edit_explode_denovo_00002_51 edit_explode_denovo_00002 9000 1.19566
edit_explode_denovo_00002_51 edit_explode_denovo_00002 10000 1.24842
edit_explode_denovo_00002_51 edit_explode_denovo_00002 11000 1.33117
edit_explode_denovo_00002_51 edit_explode_denovo_00002 12000 1.42225
edit_explode_denovo_00002_51 edit_explode_denovo_00002 13000 1.7607
edit_explode_denovo_00002_51 edit_explode_denovo_00002 14000 1.86005
edit_explode_denovo_00002_51 edit_explode_denovo_00002 15000 1.91654
edit_explode_denovo_00002_51 edit_explode_denovo_00002 16000 1.97982
edit_explode_denovo_00002_51 edit_explode_denovo_00002 17000 2.24674
edit_explode_denovo_00002_51 edit_explode_denovo_00002 18000 2.39032
edit_explode_denovo_00002_51 edit_explode_denovo_00002 19000 2.64341
edit_explode_denovo_00002_51 edit_explode_denovo_00002 20000 2.84126
edit_explode_denovo_00002_51 edit_explode_denovo_00002 21000 3.03979
edit_explode_denovo_00002_51 edit_explode_denovo_00002 22000 3.30462
edit_explode_denovo_00002_51 edit_explode_denovo_00002 23000 3.3764
edit_explode_denovo_00002_51 edit_explode_denovo_00002 24000 3.3793
edit_explode_denovo_00002_51 edit_explode_denovo_00002 25000 3.50878
edit_explode_denovo_00002_51 edit_explode_denovo_00002 26000 3.47389
edit_explode_denovo_00002_51 edit_explode_denovo_00002 27000 3.71966
edit_explode_denovo_00002_51 edit_explode_denovo_00002 28000 3.88235
edit_explode_denovo_00002_51 edit_explode_denovo_00002 29000 5.55492
edit_explode_denovo_00002_51 edit_explode_denovo_00002 30000 6.34357
edit_explode_denovo_00002_51 edit_explode_denovo_00002 31000 3.41852
edit_explode_denovo_00002_51 edit_explode_denovo_00002 32000 2.38576
edit_explode_denovo_00002_51 edit_explode_denovo_00002 33000 1.88657
edit_explode_denovo_00002_51 edit_explode_denovo_00002 34000 1.65093
edit_explode_denovo_00002_51 edit_explode_denovo_00002 35000 1.63961
edit_explode_denovo_00002_51 edit_explode_denovo_00002 36000 1.87895
edit_explode_denovo_00002_51 edit_explode_denovo_00002 37000 3.74699
edit_explode_denovo_00002_51 edit_explode_denovo_00002 38000 0.786035
edit_explode_denovo_00002_51 edit_explode_denovo_00002 39000 0.57247
