# Avida instruction execution data
# Fri Jul 24 14:26:59 2015
#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: if-label
#  8: mov-head
#  9: jmp-head
# 10: get-head
# 11: set-flow
# 12: shift-r
# 13: shift-l
# 14: inc
# 15: dec
# 16: push
# 17: pop
# 18: swap-stk
# 19: swap
# 20: add
# 21: sub
# 22: nand
# 23: h-copy
# 24: h-alloc
# 25: h-divide
# 26: IO
# 27: h-search
# 28: explode
# 29: nop-X
# 30: nop-Y

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 4 0 0 0 0 6700 6700 0 1 0 0 0 0 10 0 0 0 3 4 7 0 6700 67 67 0 136 2 5658 4 
200 111 13 27 29 288 43821 43774 15 27 6 6 31 2 101 1 0 10 10 73 89 5 43800 438 438 5 920 53 36329 91 
300 360 41 115 95 404 109890 109808 51 40 31 47 103 39 308 11 15 31 34 404 250 30 109900 1099 1099 16 2338 190 90457 229 
400 1388 142 491 250 421 212661 212866 130 280 168 193 476 248 901 47 59 175 111 929 919 101 213100 2131 2131 64 4662 422 173404 524 
500 1823 344 863 595 617 333497 333077 265 494 466 476 667 418 1320 159 169 542 522 1361 960 321 333700 3337 3337 341 7525 923 267835 1185 
600 3201 672 1125 762 745 494618 494769 495 514 1056 964 1140 841 2124 719 648 820 757 2180 1558 780 495800 4958 4958 413 11476 1856 393049 1541 
700 3878 1227 2437 1087 1504 674780 674685 671 963 1934 1862 1513 966 3112 1148 934 1277 1630 2866 2481 1240 676100 6761 6761 702 16130 3245 529510 2638 
800 3835 1540 3293 2040 1869 840627 839676 794 1650 2765 3000 2125 1475 4139 1270 1374 2063 1857 4184 3388 1867 841900 8419 8419 1274 20531 5190 652433 2682 
900 6470 1491 3435 2306 2127 900187 901463 976 2918 3250 3363 1795 2031 3881 1329 1170 1879 2342 4249 4242 2566 904000 9040 9040 1888 22573 7088 697679 2683 
1000 4405 1561 3035 2063 2285 891679 890954 1549 2423 3253 3909 1905 1751 3881 1199 1306 1909 2724 3633 3161 2704 893600 8936 8936 1816 22682 8318 686736 2418 
1100 5989 1667 3719 2077 1950 860736 861578 787 2648 3050 3723 1907 2455 3778 1027 1156 1815 2978 3493 3135 2795 864400 8644 8644 1924 22234 9265 662330 2132 
